,instrument_token,exchange_token,tradingsymbol,name,last_price,strike,tick_size,lot_size,instrument_type,segment,exchange,tradable,weight
1,3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0,0,0.05,1,EQ,NSE,NSE,y,0.52
2,60417,236,ASIANPAINT,ASIAN PAINTS,0,0,0.05,1,EQ,NSE,NSE,y,1.99
3,1510401,5900,AXISBANK,AXIS BANK,0,0,0.05,1,EQ,NSE,NSE,y,2.43
4,4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,0,0.05,1,EQ,NSE,NSE,y,0.75
5,4268801,16675,BAJAJFINSV,BAJAJ FINSERV.,0,0,0.05,1,EQ,NSE,NSE,y,0.67
6,81153,317,BAJFINANCE,BAJAJ FINANCE,0,0,0.05,1,EQ,NSE,NSE,y,1.75
7,2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,0,0.05,1,EQ,NSE,NSE,y,2.08
8,134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0,0,0.05,1,EQ,NSE,NSE,y,0.57
9,140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0,0,0.05,1,EQ,NSE,NSE,y,0.82
10,177665,694,CIPLA,CIPLA,0,0,0.05,1,EQ,NSE,NSE,y,0.76
11,5215745,20374,COALINDIA,COAL INDIA,0,0,0.05,1,EQ,NSE,NSE,y,0.48
12,2800641,10940,DIVISLAB,DIVIS LABORATORIES,0,0,0.05,1,EQ,NSE,NSE,y,0.8
13,225537,881,DRREDDY,DR. REDDYS LABORATORIES,0,0,0.05,1,EQ,NSE,NSE,y,1.18
14,232961,910,EICHERMOT,EICHER MOTORS,0,0,0.05,1,EQ,NSE,NSE,y,0.58
15,1207553,4717,GAIL,GAIL (INDIA),0,0,0.05,1,EQ,NSE,NSE,y,0.31
16,315393,1232,GRASIM,GRASIM INDUSTRIES,0,0,0.05,1,EQ,NSE,NSE,y,0.61
17,1850625,7229,HCLTECH,HCL TECHNOLOGIES,0,0,0.05,1,EQ,NSE,NSE,y,1.82
18,340481,1330,HDFC,HDFC,0,0,0.05,1,EQ,NSE,NSE,y,6.87
19,341249,1333,HDFCBANK,HDFC BANK,0,0,0.05,1,EQ,NSE,NSE,y,10.25
20,119553,467,HDFCLIFE,HDFC LIFE INS CO,0,0,0.05,1,EQ,NSE,NSE,y,0.93
21,345089,1348,HEROMOTOCO,HERO MOTOCORP,0,0,0.05,1,EQ,NSE,NSE,y,0.72
22,348929,1363,HINDALCO,HINDALCO  INDUSTRIES ,0,0,0.05,1,EQ,NSE,NSE,y,0.5
23,356865,1394,HINDUNILVR,HINDUSTAN UNILEVER.,0,0,0.05,1,EQ,NSE,NSE,y,3.69
24,1270529,4963,ICICIBANK,ICICI BANK.,0,0,0.05,1,EQ,NSE,NSE,y,5.4
25,1346049,5258,INDUSINDBK,INDUSIND BANK,0,0,0.05,1,EQ,NSE,NSE,y,0.66
26,408065,1594,INFY,INFOSYS,0,0,0.05,1,EQ,NSE,NSE,y,7.74
27,415745,1624,IOC,INDIAN OIL CORP,0,0,0.05,1,EQ,NSE,NSE,y,0.4
28,424961,1660,ITC,ITC,0,0,0.05,1,EQ,NSE,NSE,y,2.88
29,3001089,11723,JSWSTEEL,JSW STEEL,0,0,0.05,1,EQ,NSE,NSE,y,0.61
30,492033,1922,KOTAKBANK,KOTAK MAHINDRA BANK,0,0,0.05,1,EQ,NSE,NSE,y,4.52
31,2939649,11483,LT,LARSEN & TOUBRO.,0,0,0.05,1,EQ,NSE,NSE,y,2.26
32,519937,2031,M&M,MAHINDRA & MAHINDRA,0,0,0.05,1,EQ,NSE,NSE,y,1.13
33,2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0,0,0.05,1,EQ,NSE,NSE,y,1.85
34,4598529,17963,NESTLEIND,NESTLE INDIA,0,0,0.05,1,EQ,NSE,NSE,y,1.22
35,2977281,11630,NTPC,NTPC,0,0,0.05,1,EQ,NSE,NSE,y,0.85
36,633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,0,0.05,1,EQ,NSE,NSE,y,0.47
37,3834113,14977,POWERGRID,POWER GRID CORP..,0,0,0.05,1,EQ,NSE,NSE,y,0.87
38,738561,2885,RELIANCE,RELIANCE INDUSTRIES,0,0,0.05,1,EQ,NSE,NSE,y,13.24
39,5582849,21808,SBILIFE,SBI LIFE INSURANCE CO,0,0,0.05,1,EQ,NSE,NSE,y,0.6
40,779521,3045,SBIN,STATE BANK OF INDIA,0,0,0.05,1,EQ,NSE,NSE,y,1.45
41,794369,3103,SHREECEM,SHREE CEMENT,0,0,0.05,1,EQ,NSE,NSE,y,0.57
42,857857,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,0,0,0.05,1,EQ,NSE,NSE,y,1
43,884737,3456,TATAMOTORS,TATA MOTORS,0,0,0.05,1,EQ,NSE,NSE,y,0.47
44,895745,3499,TATASTEEL,TATA STEEL,0,0,0.05,1,EQ,NSE,NSE,y,0.62
45,2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,0,0.05,1,EQ,NSE,NSE,y,5.58
46,3465729,13538,TECHM,TECH MAHINDRA,0,0,0.05,1,EQ,NSE,NSE,y,1
47,897537,3506,TITAN,TITAN COMPANY,0,0,0.05,1,EQ,NSE,NSE,y,0.97
48,2952193,11532,ULTRACEMCO,ULTRATECH CEMENT,0,0,0.05,1,EQ,NSE,NSE,y,1.05
49,2889473,11287,UPL,UPL,0,0,0.05,1,EQ,NSE,NSE,y,0.5
50,969473,3787,WIPRO,WIPRO,0,0,0.05,1,EQ,NSE,NSE,y,1.01
